iter	Logloss
0	0.4809357851
1	0.3263320592
2	0.2322524326
3	0.1466639233
4	0.1009603865
5	0.07292515521
6	0.06187554666
7	0.05299976357
8	0.04668966183
9	0.04072494801
10	0.03387877351
11	0.03029345823
12	0.02640711971
13	0.02332583578
14	0.01856740872
15	0.01613327163
16	0.01486824454
17	0.01395887925
18	0.01206426464
19	0.0113393287
20	0.01093902485
21	0.009966375238
22	0.009044756507
23	0.007534313275
24	0.00710675667
25	0.00644223357
26	0.005631713309
27	0.005462018842
28	0.005006882835
29	0.004542372862
30	0.004040665444
31	0.003792736793
32	0.003583530325
33	0.003482492876
34	0.003316601769
35	0.00325177871
36	0.002921499885
37	0.002569766971
38	0.002377527372
39	0.002267743358
40	0.002146807492
41	0.002011120286
42	0.001936763713
43	0.001858790638
44	0.001727235823
45	0.001631978932
46	0.001519884311
47	0.00142669912
48	0.001380622873
49	0.00130011031
50	0.001300066637
51	0.001257508132
52	0.001214054022
53	0.001152710097
54	0.001102798986
55	0.001066471837
56	0.001036706623
57	0.001002376478
58	0.0008909618783
59	0.0008272803113
60	0.0008272996909
61	0.0007969985413
62	0.0007612532524
63	0.0007472365851
64	0.0007343694967
65	0.0007006703644
66	0.0006873031019
67	0.0006391104383
68	0.0006278631854
69	0.0006278631854
70	0.0006013990018
71	0.0005848067017
72	0.0005673827247
73	0.0005673827247
74	0.0005508756967
75	0.0005328554806
76	0.000532870065
77	0.0005328008991
78	0.0005202607644
79	0.0005135335531
80	0.0005135346711
81	0.000494388105
82	0.0004943782245
83	0.0004943782245
84	0.0004943782245
85	0.0004701810211
86	0.0004701810211
87	0.0004701810211
88	0.0004701655809
89	0.0004701655809
90	0.0004701655809
91	0.0004701655809
92	0.0004587303965
93	0.0004587354438
94	0.0004516776727
95	0.0004516776727
96	0.0004516776727
97	0.0004516752066
98	0.0004516752066
99	0.0004402273564
100	0.000432182356
101	0.000432182356
102	0.0004209338404
103	0.0003897808635
104	0.0003832175596
105	0.0003832175596
106	0.0003832175596
107	0.0003715354588
108	0.0003628547354
109	0.0003628547354
110	0.0003628547354
111	0.000362862008
112	0.000362862008
113	0.0003628586018
114	0.0003628592721
115	0.0003628592721
116	0.0003628592721
117	0.0003628407014
118	0.0003628459373
119	0.0003628459373
120	0.0003628459373
121	0.0003628459373
122	0.0003628459373
123	0.0003560551944
124	0.0003560551944
125	0.0003560551944
126	0.0003560342075
127	0.0003560253133
128	0.0003560018709
129	0.0003559942798
130	0.000356019852
131	0.000353748309
132	0.0003537564748
133	0.0003537564748
134	0.0003537564748
135	0.0003513675622
136	0.000351337738
137	0.000351337738
138	0.000351337738
139	0.000351337738
140	0.000351337738
141	0.0003513485859
142	0.0003513485859
143	0.0003513485859
144	0.0003513485859
145	0.0003513485859
146	0.0003513271861
147	0.0003513271861
148	0.000351342054
149	0.000351342054
150	0.000351342054
151	0.000351342054
152	0.000351342054
153	0.0003513433856
154	0.0003513352879
155	0.0003513352879
156	0.0003513352879
157	0.000351325249
158	0.0003513054874
159	0.0003513054874
160	0.0003513054874
161	0.0003513054874
162	0.0003513054874
163	0.0003513054874
164	0.0003513054874
165	0.0003513054874
166	0.000351319216
167	0.000351319216
168	0.000351319216
169	0.0003513489346
170	0.0003513489346
171	0.000351320678
172	0.000351320678
173	0.000351320678
174	0.000351320678
175	0.000351320678
176	0.000351320678
177	0.000351320678
178	0.0003513342951
179	0.0003513342951
180	0.0003513336848
181	0.0003513041666
182	0.0003513132387
183	0.0003513132387
184	0.0003513132387
185	0.0003513401454
186	0.0003513401454
187	0.0003513380387
188	0.0003513380387
189	0.0003513307625
190	0.0003513307625
191	0.0003513307625
192	0.0003512834513
193	0.0003512834513
194	0.0003512834513
195	0.0003513039131
196	0.0003512912961
197	0.0003512912961
198	0.0003512912961
199	0.0003512909811
